,target_com,depth,target_per,総収益,投資金額,出現数,購買予測数,利益率,購買的中率,的中数,number_i
2038,5.0,4.0,109.0,86170.0,71300.0,278.0,713.0,120.85553997194953,11.079943899018232,79.0,58.0
2039,5.0,4.0,110.0,65480.0,56000.0,278.0,560.0,116.92857142857143,10.892857142857142,61.0,59.0
2138,5.0,5.0,110.0,88480.0,80000.0,278.0,800.0,110.6,10.5,84.0,59.0
2139,5.0,5.0,111.0,85900.0,70300.0,278.0,703.0,122.19061166429589,11.379800853485065,80.0,60.0
2140,5.0,5.0,112.0,82840.0,60300.0,278.0,603.0,137.37976782752904,12.271973466003315,74.0,61.0
2141,5.0,5.0,113.0,63030.0,52400.0,278.0,524.0,120.2862595419847,11.450381679389313,60.0,62.0
2239,5.0,6.0,112.0,101620.0,81300.0,278.0,813.0,124.99384993849938,11.439114391143914,93.0,61.0
2240,5.0,6.0,113.0,91810.0,72700.0,278.0,727.0,126.28610729023384,11.691884456671252,85.0,62.0
2241,5.0,6.0,114.0,77820.0,62400.0,278.0,624.0,124.71153846153848,11.698717948717947,73.0,63.0
2242,5.0,6.0,115.0,66020.0,55900.0,278.0,559.0,118.10375670840789,11.270125223613595,63.0,64.0
2337,5.0,7.0,111.0,113130.0,97000.0,278.0,970.0,116.62886597938144,10.82474226804124,105.0,60.0
2338,5.0,7.0,112.0,116050.0,97400.0,278.0,974.0,119.14784394250513,10.985626283367557,107.0,61.0
2339,5.0,7.0,113.0,106970.0,90100.0,278.0,901.0,118.72364039955605,10.654827968923415,96.0,62.0
2340,5.0,7.0,114.0,94160.0,77900.0,278.0,779.0,120.87291399229782,11.424903722721439,89.0,63.0
2341,5.0,7.0,115.0,86540.0,74800.0,278.0,748.0,115.69518716577541,10.828877005347595,81.0,64.0
2342,5.0,7.0,116.0,73880.0,63300.0,278.0,633.0,116.71406003159555,11.216429699842024,71.0,65.0
2343,5.0,7.0,117.0,68780.0,57600.0,278.0,576.0,119.4097222222222,11.458333333333332,66.0,66.0
2344,5.0,7.0,118.0,69740.0,50200.0,278.0,502.0,138.92430278884459,13.147410358565734,66.0,67.0
2439,5.0,8.0,114.0,104240.0,86300.0,278.0,863.0,120.78794901506373,11.355735805330243,98.0,63.0
2440,5.0,8.0,115.0,101460.0,85400.0,278.0,854.0,118.80562060889929,10.655737704918034,91.0,64.0
2441,5.0,8.0,116.0,92390.0,78100.0,278.0,781.0,118.29705505761842,11.011523687580024,86.0,65.0
2442,5.0,8.0,117.0,88010.0,71100.0,278.0,711.0,123.7834036568214,11.81434599156118,84.0,66.0
2443,5.0,8.0,118.0,75790.0,62900.0,278.0,629.0,120.49284578696344,11.446740858505564,72.0,67.0
2444,5.0,8.0,119.0,72030.0,56600.0,278.0,566.0,127.26148409893992,12.36749116607774,70.0,68.0
2445,5.0,8.0,120.0,63190.0,47100.0,278.0,471.0,134.16135881104034,12.951167728237793,61.0,69.0
4231,9.0,6.0,124.0,33520.0,29000.0,152.0,290.0,115.58620689655173,11.379310344827587,33.0,73.0
4232,9.0,6.0,125.0,33580.0,29100.0,152.0,291.0,115.39518900343641,11.340206185567009,33.0,74.0
4437,9.0,8.0,132.0,31790.0,24500.0,152.0,245.0,129.7551020408163,13.06122448979592,32.0,81.0
4438,9.0,8.0,133.0,31980.0,24700.0,152.0,247.0,129.4736842105263,12.955465587044534,32.0,82.0
7702,16.0,6.0,130.0,25740.0,21200.0,37.0,212.0,121.41509433962266,4.245283018867925,9.0,79.0
7703,16.0,6.0,131.0,24740.0,19900.0,37.0,199.0,124.321608040201,4.0201005025125625,8.0,80.0
7704,16.0,6.0,132.0,23690.0,15700.0,37.0,157.0,150.8917197452229,5.095541401273887,8.0,81.0
8008,17.0,4.0,139.0,12930.0,9600.0,62.0,96.0,134.6875,14.583333333333336,14.0,88.0
8113,17.0,5.0,145.0,13590.0,10000.0,62.0,100.0,135.9,15.0,15.0,94.0
8114,17.0,5.0,146.0,12070.0,10000.0,62.0,100.0,120.7,13.0,13.0,95.0
10852,22.0,8.0,112.0,94940.0,85000.0,82.0,850.0,111.69411764705885,4.470588235294118,38.0,61.0
10854,22.0,8.0,114.0,91720.0,73500.0,82.0,735.0,124.78911564625851,4.8979591836734695,36.0,63.0
10855,22.0,8.0,115.0,74580.0,66900.0,82.0,669.0,111.4798206278027,4.783258594917788,32.0,64.0
11049,23.0,5.0,111.0,88570.0,76900.0,71.0,769.0,115.17555266579971,4.681404421326398,36.0,60.0
11050,23.0,5.0,112.0,84440.0,69800.0,71.0,698.0,120.97421203438394,4.871060171919772,34.0,61.0
11051,23.0,5.0,113.0,91620.0,67700.0,71.0,677.0,135.33234859675036,5.1698670605613,35.0,62.0
11065,23.0,5.0,127.0,21250.0,18700.0,71.0,187.0,113.63636363636364,8.021390374331549,15.0,76.0
11066,23.0,5.0,128.0,22440.0,20200.0,71.0,202.0,111.0891089108911,7.920792079207921,16.0,77.0
11067,23.0,5.0,129.0,22180.0,19200.0,71.0,192.0,115.52083333333334,8.333333333333332,16.0,78.0
11068,23.0,5.0,130.0,20800.0,16100.0,71.0,161.0,129.19254658385094,9.316770186335404,15.0,79.0
11171,23.0,6.0,134.0,22180.0,17400.0,71.0,174.0,127.47126436781609,9.195402298850574,16.0,83.0
11172,23.0,6.0,135.0,22230.0,16300.0,71.0,163.0,136.3803680981595,9.8159509202454,16.0,84.0
11173,23.0,6.0,136.0,19180.0,16600.0,71.0,166.0,115.54216867469879,9.63855421686747,16.0,85.0
11174,23.0,6.0,137.0,21080.0,14400.0,71.0,144.0,146.38888888888889,10.416666666666668,15.0,86.0
11249,23.0,7.0,113.0,95750.0,84400.0,71.0,844.0,113.4478672985782,4.383886255924171,37.0,62.0
11250,23.0,7.0,114.0,92220.0,79400.0,71.0,794.0,116.14609571788412,4.6599496221662475,37.0,63.0
11275,23.0,7.0,139.0,23370.0,18000.0,71.0,180.0,129.83333333333334,9.444444444444443,17.0,88.0
11276,23.0,7.0,140.0,22280.0,16400.0,71.0,164.0,135.8536585365854,9.75609756097561,16.0,89.0
11378,23.0,8.0,143.0,23370.0,20600.0,71.0,206.0,113.44660194174759,8.25242718446602,17.0,92.0
11379,23.0,8.0,144.0,24560.0,18300.0,71.0,183.0,134.20765027322406,9.289617486338797,17.0,93.0
11380,23.0,8.0,145.0,22180.0,16900.0,71.0,169.0,131.24260355029585,9.467455621301776,16.0,94.0
12857,26.0,8.0,137.0,54350.0,44800.0,35.0,448.0,121.31696428571428,4.464285714285714,20.0,86.0
12941,27.0,4.0,122.0,45010.0,36900.0,29.0,369.0,121.97831978319785,1.8970189701897016,7.0,71.0
12942,27.0,4.0,123.0,50010.0,36000.0,29.0,360.0,138.91666666666666,1.9444444444444444,7.0,72.0
13099,27.0,6.0,82.0,213850.0,180800.0,29.0,1808.0,118.27986725663716,1.1615044247787611,21.0,31.0
13100,27.0,6.0,83.0,213850.0,172400.0,29.0,1724.0,124.0429234338747,1.2180974477958235,21.0,32.0
13151,27.0,6.0,134.0,40450.0,31800.0,29.0,318.0,127.20125786163523,1.8867924528301887,6.0,83.0
13195,27.0,7.0,79.0,213850.0,182900.0,29.0,1829.0,116.92181519956259,1.1481683980317114,21.0,28.0
13196,27.0,7.0,80.0,211300.0,177100.0,29.0,1771.0,119.31112365894974,1.129305477131564,20.0,29.0
13197,27.0,7.0,81.0,211300.0,177100.0,29.0,1771.0,119.31112365894974,1.129305477131564,20.0,30.0
13198,27.0,7.0,82.0,213850.0,168200.0,29.0,1682.0,127.14030915576694,1.248513674197384,21.0,31.0
13199,27.0,7.0,83.0,190260.0,164400.0,29.0,1644.0,115.7299270072993,1.2165450121654502,20.0,32.0
