,4,11,13,14,17,sum,月,num_pred,money,gain,hit_per
1月,3.0,0.0,1.0,0.0,2.0,6.0,1月,37,11000.0,297.2972972972973,16.216216216216218
2月,1.0,0.0,2.0,1.0,1.0,5.0,2月,59,5000.0,84.7457627118644,8.47457627118644
3月,2.0,1.0,1.0,2.0,0.0,6.0,3月,58,9010.0,155.3448275862069,10.344827586206897
4月,1.0,0.0,0.0,0.0,1.0,2.0,4月,48,3930.0,81.875,4.166666666666666
5月,1.0,2.0,1.0,0.0,0.0,4.0,5月,52,3650.0,70.1923076923077,7.6923076923076925
6月,4.0,0.0,2.0,1.0,0.0,7.0,6月,61,7580.0,124.26229508196722,11.475409836065573
7月,3.0,1.0,0.0,1.0,1.0,6.0,7月,58,9080.0,156.55172413793105,10.344827586206897
8月,2.0,0.0,0.0,1.0,2.0,5.0,8月,64,8400.0,131.25,7.8125
9月,1.0,1.0,1.0,1.0,1.0,5.0,9月,36,5670.0,157.5,13.88888888888889
10月,2.0,1.0,1.0,0.0,0.0,4.0,10月,48,7130.0,148.54166666666666,8.333333333333332
11月,3.0,2.0,0.0,1.0,2.0,8.0,11月,74,9180.0,124.05405405405405,10.81081081081081
12月,0.0,1.0,3.0,0.0,0.0,4.0,12月,47,4620.0,98.29787234042553,8.51063829787234
